ips_locations - Copia
ip,y,x
78.186.164.224,8.08328440005647,-162.239552292957
178.213.130.74,43.9993664229598,59.6877604770464
83.149.38.41,19.0528793733023,45.0212006594636
111.73.232.49,26.6038001682883,167.083157794867
195.113.144.245,23.7832369830215,-104.281616647347
72.5.24.102,11.2827018513756,-55.1078674473004
95.26.107.225,78.1841161731921,-65.2662286750125
78.90.10.227,-9.83330223284683,177.106731666554
89.103.225.234,-13.8660802667315,-71.6603045326646
161.53.210.12,-6.38427656277432,-84.6257155917257
87.203.124.132,20.9391589011548,-147.719466778978
210.165.182.84,-26.8952238081502,-108.640531738239
89.102.52.186,47.4307403725549,95.3149654469815
82.71.27.43,23.2852747857565,-41.0623248675632
78.84.68.226,6.28535717271436,142.309013813662
114.24.67.162,-61.1044740667234,-29.4701184301473
87.226.64.18,-57.959970413541,-25.3357905910921
111.252.18.196,-30.6435922934823,44.6670876607708
78.83.54.25,26.3465302947001,-112.959650649851
111.252.204.217,56.798846729743,-15.67715626617
98.231.25.223,73.3834964118394,-137.489719573659
131.159.40.233,35.4247822250047,-154.563863698104
184.155.7.174,75.505868660279,109.206225026217
95.182.74.39,-66.3537614053015,-9.83718159339347
87.236.31.142,27.4908198753692,172.409603084681
145.116.6.140,-74.9414856251394,113.808943767032
128.36.132.145,-7.6338942122012,178.732555101613
85.239.141.135,68.7651999762891,-41.3083947355933
169.236.9.88,-7.48532180552009,-97.961985372401
24.107.115.226,69.8098391222276,-50.5604272481922
68.38.87.183,58.1003040159314,-30.2150255454394
115.30.176.173,77.5683981787993,-43.198477747495
78.90.79.92,48.6201425892105,150.260553489211
91.202.134.25,-65.3603274269826,13.3616121780361
217.164.163.79,15.2456852066842,-98.4045768268429
91.79.134.214,-60.2528083174919,-105.900542263494
76.110.30.188,76.2288295432199,-122.820431173155
217.199.97.126,31.2920038719148,-30.8524360127024
89.228.50.29,30.186312347067,98.9527381396128
178.121.24.214,-9.42188147640742,66.1147569574123
118.231.67.213,40.7345553102084,-19.2006562934289
217.208.223.53,10.1133027755967,123.187297277302
76.112.185.98,80.7002887715037,-83.681832082833
94.101.193.91,64.1791532937718,115.97824973076
159.148.226.252,53.7831862476648,-136.373992260659
111.251.82.194,0.0637677751637256,10.3496182237983
114.27.229.184,-75.3424672401628,-139.613756449575
95.111.37.139,-28.9454464615849,36.5317829829079
41.251.19.42,54.1336309214781,-10.9877967999498
79.103.207.50,-71.7062557164942,-49.1418072149205
218.103.243.9,-12.1293458378264,68.7938763837732
94.196.76.92,0.91662557785078,73.2223615873602
81.104.184.70,24.092243255637,-168.276663520598
218.212.8.110,80.9383737791492,-110.955742255365
76.121.243.162,32.5829237047962,158.64278482801
218.35.11.84,-83.7917545078866,35.4848937808871
60.62.138.159,-84.757564437239,31.9283866545722
118.168.165.228,-18.5896629681603,-148.916909267854
66.214.134.184,-83.231737989084,-131.070091862145
196.44.189.188,-35.5645506579767,110.500522970701
87.185.118.154,51.8104053309675,-81.4966937921705
78.90.63.69,-52.4133715731243,172.553026911407
46.232.156.42,-27.8481223457767,133.484484999009
76.18.67.194,67.9863839971874,93.2507426402278
85.248.44.71,64.7106836034205,-102.889626920141
176.9.0.5,72.7100077803494,119.627373977073
173.252.2.248,-63.9427013948581,23.6026003317899
81.30.186.152,61.8902579713016,174.336277249055
178.203.92.166,-28.3093182961868,21.883899547117
89.190.248.103,57.0814779809877,-22.2136868174948
95.68.127.28,48.0212936678103,-70.4079467622332
82.151.67.199,-51.908076690576,-113.638081164604
178.174.153.76,7.24797361314909,104.881793932661
88.81.50.254,7.65222229933249,-170.135115057457
88.223.51.168,-17.9716721512539,73.4212112966473
77.125.82.121,82.7948867276564,178.236325344455
46.109.48.75,-35.5649360060388,-86.9097304040496
24.222.164.129,-39.7357328065889,-23.1659765482129
178.140.17.239,-13.5330107446583,167.644581878719
119.56.20.29,5.93866617915492,116.331506710563
131.104.173.112,-17.4628350099071,-13.9157696969252
